Location,Region,Census2010,Estimates Base,Est2010,Est2011,Est2012,Est2013,Est2014
United States,NA,308745538,308758105,309347057,311721632,314112078,316497531,318857056
Northeast,NA,55317240,55318348,55381690,55635670,55832038,56028220,56152333
Midwest,NA,66927001,66929898,66972390,67149657,67331458,67567871,67745108
South,NA,114555744,114562951,114871231,116089908,117346322,118522802,119771934
West,NA,71945553,71946908,72121746,72846397,73602260,74378638,75187681
.Alabama,ESC,4779736,4780127,4785822,4801695,4817484,4833996,4849377
.Alaska,PAC,710231,710249,713856,722572,731081,737259,736732
.Arizona,MTN,6392017,6392310,6411999,6472867,6556236,6634997,6731484
.Arkansas,WSC,2915918,2915958,2922297,2938430,2949300,2958765,2966369
.California,PAC,37253956,37254503,37336011,37701901,38062780,38431393,38802500
.Colorado,MTN,5029196,5029324,5048575,5119661,5191709,5272086,5355866
.Connecticut,NEW,3574097,3574096,3579345,3590537,3594362,3599341,3596677
.Delaware,SAT,897934,897936,899731,907829,916881,925240,935614
.District of Columbia,SAT,601723,601767,605210,620427,635040,649111,658893
.Florida,SAT,18801310,18804623,18852220,19107900,19355257,19600311,19893297
.Georgia,SAT,9687653,9688681,9714464,9813201,9919000,9994759,10097343
.Hawaii,PAC,1360301,1360301,1363950,1378251,1392766,1408987,1419561
.Idaho,MTN,1567582,1567652,1570639,1583780,1595590,1612843,1634464
.Illinois,ENC,12830632,12831587,12840097,12858725,12873763,12890552,12880580
.Indiana,ENC,6483802,6484192,6490308,6516560,6537632,6570713,6596855
.Iowa,WNC,3046355,3046869,3050295,3064904,3075935,3092341,3107126
.Kansas,WNC,2853118,2853132,2858949,2869965,2885966,2895801,2904021
.Kentucky,ESC,4339367,4339349,4349838,4370038,4383465,4399583,4413457
.Louisiana,WSC,4533372,4533479,4545581,4575972,4604744,4629284,4649676
.Maine,NEW,1328361,1328361,1327361,1327930,1328592,1328702,1330089
.Maryland,SAT,5773552,5773785,5788101,5843833,5891819,5938737,5976407
.Massachusetts,NEW,6547629,6547817,6564073,6612270,6655829,6708874,6745408
.Michigan,ENC,9883640,9884133,9876498,9875736,9884781,9898193,9909877
.Minnesota,WNC,5303925,5303925,5310418,5348036,5380615,5422060,5457173
.Mississippi,ESC,2967297,2968103,2970811,2978464,2986137,2992206,2994079
.Missouri,WNC,5988927,5988923,5996085,6010544,6025281,6044917,6063589
.Montana,MTN,989415,989417,990575,997661,1005163,1014864,1023579
.Nebraska,WNC,1826341,1826341,1829865,1842232,1855487,1868969,1881503
.Nevada,MTN,2700551,2700692,2703493,2718586,2755245,2791494,2839099
.New Hampshire,NEW,1316470,1316466,1316517,1318109,1321297,1322616,1326813
.New Jersey,MAT,8791894,8791936,8803580,8842614,8876000,8911502,8938175
.New Mexico,MTN,2059179,2059192,2064950,2078407,2084594,2086895,2085572
.New York,MAT,19378102,19378112,19400867,19521745,19607140,19695680,19746227
.North Carolina,SAT,9535483,9535691,9559488,9651502,9748181,9848917,9943964
.North Dakota,WNC,672591,672591,674345,685242,701705,723857,739482
.Ohio,ENC,11536504,11536725,11540070,11544757,11550901,11572005,11594163
.Oklahoma,WSC,3751351,3751616,3759481,3786527,3817059,3853118,3878051
.Oregon,PAC,3831074,3831073,3837083,3867644,3898684,3928068,3970239
.Pennsylvania,MAT,12702379,12702884,12711077,12743995,12770043,12781296,12787209
.Rhode Island,NEW,1052567,1052931,1053078,1052020,1052637,1053354,1055173
.South Carolina,SAT,4625364,4625401,4636290,4673054,4722621,4771929,4832482
.South Dakota,WNC,814180,814191,816192,824171,834504,845510,853175
.Tennessee,ESC,6346105,6346275,6356628,6398389,6455177,6497269,6549352
.Texas,WSC,25145561,25146104,25245717,25657477,26094422,26505637,26956958
.Utah,MTN,2763885,2763885,2774346,2815324,2855194,2902787,2942902
.Vermont,NEW,625741,625745,625792,626450,626138,626855,626562
.Virginia,SAT,8001024,8001023,8025376,8110188,8193422,8270345,8326289
.Washington,PAC,6724540,6724543,6741911,6822112,6896325,6973742,7061530
.West Virginia,SAT,1852994,1853033,1854176,1854982,1856313,1853595,1850326
.Wisconsin,ENC,5686986,5687289,5689268,5708785,5724888,5742953,5757564
.Wyoming,MTN,563626,563767,564358,567631,576893,583223,584153
